date,ADELE,ADELĪNA,ADRIANA,ADRIĀNA,ADRIJA,AELITA,AGAFIJA,AGATE,AGITA,AGNESE,AGRITA,AIGA,AIJA,AINA,AIVA,ALDA,ALEKSA,ALEKSANDRA,ALINA,ALISA,ALISE,ALĪDA,ALĪNA,ALLA,ALMA,ALVĪNE,AĻONA,AMANDA,AMĒLIJA,ANASTASIJA,ANCE,ANDA,ANDRA,ANETE,ANGELINA,ANITA,ANNA,ANNIJA,ANNIKA,ANTONIJA,ANTOŅINA,ANTRA,ANŽELA,ANŽELIKA,ARINA,ARITA,ARTA,ASTRA,ASTRĪDA,AUSMA,AUSTRA,ĀRIJA,BAIBA,BEATRISE,BEĀTE,BENITA,BERTA,BIRUTA,BRIGITA,BRONISLAVA,BROŅISLAVA,DACE,DAIGA,DAINA,DANA,DANIELA,DARINA,DARJA,DĀRTA,DIANA,DIĀNA,DINA,DITA,DZIDRA,DZINTRA,EDĪTE,EGIJA,EGITA,ELEONORA,ELFRĪDA,ELGA,ELITA,ELIZABETE,ELĪNA,ELĪZA,ELLA,ELVĪRA,ELZA,EMĪLIJA,EMMA,ENIJA,ERNA,ESTERE,EVA,EVELĪNA,EVIJA,EVITA,ĒRIKA,FEODOSIJA,FRANCISKA,GABRIELA,GAIDA,GAĻINA,GENOVEFA,GINTA,GITA,GUNA,GUNDEGA,GUNITA,GUNTA,HANNA,HELENA,HELĒNA,HERMĪNE,HERTA,HILDA,IEVA,ILGA,ILONA,ILUTA,ILVA,ILZE,INA,INĀRA,INDRA,INESE,INETA,INGA,INGRĪDA,INGUNA,INGŪNA,INITA,INNA,INTA,IRĒNA,IRINA,IRĪNA,IRMA,IVETA,JADVIGA,JANA,JANĪNA,JASMĪNA,JEFROSINIJA,JEKATERINA,JEKATERĪNA,JELIZAVETA,JEĻENA,JEĻIZAVETA,JEVDOKIJA,JEVGENIJA,JEVGEŅIJA,JOLANTA,JUDĪTE,JUSTĪNE,JUZEFA,JŪLIJA,KARINA,KARĪNA,KARLĪNA,KAROLINA,KAROLĪNA,KATE,KATRĪNA,KEITA,KIRA,KITIJA,KRISTA,KRISTIĀNA,KRISTINA,KRISTĪNA,KRISTĪNE,KSENIJA,LAILA,LAIMA,LARISA,LAUMA,LAURA,LĀSMA,LELDE,LEONORA,LEONTĪNA,LEONTĪNE,LETĪCIJA,LIĀNA,LIDIJA,LIENE,LIGITA,LIJA,LILIJA,LILITA,LINDA,LĪGA,LĪNA,LĪVA,LĪVIJA,LOLITA,LONIJA,LORETA,LOTE,LUCIJA,LUDMILA,LUĪZE,LŪCIJA,ĻUBOVA,MADARA,MAIGA,MAIJA,MALVĪNE,MARFA,MARGARITA,MARIJA,MARIKA,MARINA,MARITA,MARTA,MARUTA,MATILDE,MĀRA,MĀRĪTE,MEGIJA,MELĀNIJA,MELISA,MILANA,MILDA,MIRDZA,MONIKA,MONTA,MUDĪTE,NADEŽDA,NATAĻJA,NATĀLIJA,NELLIJA,NIKA,NIKOLA,NORA,ŅINA,ODRIJA,OKSANA,OLGA,OLĪVIJA,OĻESJA,PATRĪCIJA,PAULA,PAULĪNA,POLINA,POĻINA,RAISA,RASMA,REBEKA,REGĪNA,RENĀTE,RĒZIJA,RITA,ROZĀLIJA,RUDĪTE,RUTA,RŪTA,SABĪNE,SAMANTA,SANDA,SANDRA,SANIJA,SANITA,SANTA,SARMĪTE,SĀRA,SIGITA,SIGNE,SILVIJA,SIMONA,SINDIJA,SINTIJA,SKAIDRĪTE,SOFIJA,SOFJA,SOLVITA,SPODRA,STAŅISLAVA,STEFĀNIJA,SVETLANA,ŠARLOTE,TAMĀRA,TATJANA,TEKLA,TĪNA,UNA,VAIRA,VALDA,VALENTINA,VALENTĪNA,VALERIJA,VALĒRIJA,VALIJA,VANDA,VANESA,VARVARA,VELGA,VELTA,VENERANDA,VERA,VERONIKA,VĒSMA,VIJA,VIKTORIJA,VILMA,VINETA,VITA,VIZMA,ZAIGA,ZANDA,ZANE,ZELMA,ZENTA,ZIGRĪDA,ZINAIDA,ZINAĪDA,ZOFIJA,ZOJA,ŽANNA
1920,null,null,null,null,null,null,98,null,null,null,null,null,null,28,null,null,null,34,null,null,71,66,null,null,14,70,null,null,null,32,null,null,null,null,null,null,1,null,null,59,9,null,null,null,null,null,null,null,null,53,18,80,null,null,null,null,68,57,null,85,23,null,null,null,null,null,null,null,null,null,null,null,null,58,null,null,null,null,39,93,null,null,null,null,null,89,35,5,12,30,null,24,null,null,null,null,null,51,90,81,null,46,null,31,null,null,null,null,null,null,null,95,11,69,38,64,100,41,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,61,75,null,29,null,33,null,36,null,97,56,null,null,43,null,48,76,94,null,null,null,63,47,null,null,null,null,null,null,65,null,null,null,null,null,null,null,null,84,null,null,null,null,null,null,null,77,null,92,null,null,21,null,null,null,26,null,null,null,55,null,null,null,null,null,null,null,null,null,27,67,null,42,null,78,86,null,2,null,null,null,8,null,91,null,null,null,null,null,null,4,10,22,null,null,62,null,60,87,null,null,null,44,null,null,6,null,null,null,null,73,null,null,null,45,null,null,null,null,72,88,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49,40,null,null,null,82,52,null,null,79,54,19,null,null,null,null,null,17,null,null,25,74,null,96,null,3,null,15,7,null,null,50,13,null,null,null,null,null,null,20,16,null,37,83,99,null,null
1925,null,null,null,null,null,null,null,null,null,null,null,null,null,5,null,null,null,47,null,null,93,96,null,null,25,80,null,null,null,42,null,null,null,null,null,null,1,null,null,62,9,null,null,null,null,null,null,null,null,11,13,44,null,null,null,null,null,34,null,98,27,null,null,null,null,null,null,null,null,null,null,null,null,7,null,null,null,null,39,null,79,null,null,null,null,86,41,14,22,51,null,35,null,null,null,null,null,48,null,null,null,43,null,37,null,null,null,null,null,null,null,null,19,null,53,65,100,17,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50,72,null,36,null,49,null,29,null,97,63,null,null,52,null,54,71,90,null,null,null,76,68,null,null,null,null,null,null,95,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,69,94,92,null,null,20,null,null,null,31,null,null,null,82,null,60,null,83,null,null,99,null,null,33,78,null,26,null,87,null,null,2,null,null,null,23,null,null,null,null,null,null,null,null,12,4,28,null,null,59,null,64,91,null,null,null,46,null,null,8,null,null,null,null,84,null,null,null,30,null,61,null,null,40,null,null,66,null,null,null,null,null,null,null,null,null,null,null,null,81,null,null,null,24,56,null,null,null,58,73,null,null,75,57,32,null,null,null,67,null,6,null,88,16,70,null,null,null,3,85,15,10,null,77,55,21,null,null,null,null,null,null,38,18,74,45,89,null,null,null
1930,null,null,null,null,null,null,null,null,null,null,null,null,73,6,null,null,null,47,null,null,null,null,null,null,48,null,null,null,null,31,null,null,null,null,null,null,1,null,null,68,10,null,null,null,null,null,null,null,89,4,23,18,null,null,null,null,null,11,76,null,27,null,null,65,null,null,null,null,null,null,null,null,null,5,null,95,null,null,41,null,57,null,null,null,null,null,53,37,26,null,null,60,null,null,null,null,null,56,null,null,null,34,null,30,null,null,null,null,null,null,null,null,22,null,88,86,null,9,null,null,null,null,null,99,null,null,null,null,null,null,null,null,null,44,28,71,null,50,null,54,null,15,null,97,75,null,null,52,null,64,72,90,null,null,null,96,91,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,79,null,null,null,null,null,83,67,87,null,null,16,null,null,null,29,null,null,null,null,null,55,null,null,null,null,93,null,null,42,85,null,25,77,null,null,null,3,null,null,null,33,null,null,null,null,null,null,null,null,35,8,39,null,null,66,null,74,98,null,null,null,43,null,null,17,null,null,null,null,null,null,null,92,21,null,32,null,null,13,null,null,45,94,null,null,null,null,null,null,null,null,null,null,null,62,null,null,null,12,80,null,null,100,69,78,null,null,81,63,40,null,null,null,49,null,7,null,82,20,70,null,null,null,2,61,24,14,null,38,58,36,null,null,null,null,null,null,59,19,51,46,84,null,null,null
1935,null,null,null,null,null,null,null,null,null,null,null,null,39,5,null,null,null,64,null,null,null,null,null,null,89,null,null,null,null,44,null,null,null,null,null,86,1,null,null,79,10,null,null,null,null,null,null,87,42,4,30,14,null,null,null,84,null,8,43,null,46,null,null,48,null,null,null,null,null,null,null,null,null,7,54,70,null,null,62,null,68,null,null,null,null,null,88,58,37,null,null,92,null,null,null,null,null,56,null,null,null,45,null,38,null,null,null,null,null,55,null,null,27,null,null,null,null,9,null,null,null,null,null,41,null,null,null,null,null,null,null,null,null,21,16,67,null,78,null,65,null,18,null,null,76,null,null,61,null,71,74,95,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,69,null,null,null,null,null,null,81,93,null,null,13,null,null,null,35,null,null,null,null,null,52,null,null,null,null,null,null,null,28,91,null,31,40,null,null,null,3,null,null,null,50,null,null,90,null,null,null,null,null,66,11,47,null,100,63,null,75,null,null,null,null,36,null,null,23,null,null,null,null,null,null,null,82,22,null,19,null,null,12,null,null,24,77,null,null,null,null,null,null,null,99,null,null,null,34,null,null,null,17,85,null,null,null,83,null,null,null,72,60,57,null,null,null,49,97,2,null,96,25,73,null,null,null,6,51,29,20,null,15,59,53,null,null,94,null,null,null,98,26,32,33,80,null,null,null
1940,null,null,null,null,null,null,null,null,null,null,null,null,25,4,null,null,null,78,null,null,null,null,null,null,null,null,null,null,null,48,null,null,null,null,null,31,1,null,null,88,23,null,null,null,null,null,null,79,44,6,43,22,85,null,null,86,null,8,41,null,71,94,null,33,null,null,null,null,null,null,null,null,null,12,34,53,null,null,75,null,64,null,null,null,null,null,null,77,58,null,null,null,null,null,null,null,null,56,null,null,null,49,null,60,null,null,null,null,null,45,null,null,46,null,null,null,74,14,null,null,null,50,null,24,null,null,null,null,null,null,null,null,null,27,9,61,null,null,null,84,null,26,null,null,92,null,null,73,null,null,87,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,82,null,null,null,null,null,null,95,null,null,null,15,null,99,100,37,81,null,97,null,null,47,null,null,null,null,null,null,null,42,98,null,52,10,null,null,null,2,null,null,null,55,89,null,21,null,null,null,null,null,91,16,66,null,80,62,null,93,null,null,null,null,39,null,null,28,null,null,null,null,null,null,null,83,18,null,20,null,null,13,null,96,17,51,null,null,null,null,null,null,null,70,null,null,null,19,null,null,null,11,null,null,null,null,null,null,null,null,59,57,90,null,null,null,40,null,3,null,null,32,68,null,null,63,7,54,29,30,null,5,67,65,null,null,72,69,null,null,null,35,38,36,76,null,null,null
1945,null,null,null,null,null,null,null,null,null,null,null,null,27,7,null,null,null,74,null,null,null,null,null,null,null,null,null,null,null,62,null,null,null,null,null,15,2,null,null,null,35,null,null,null,null,null,null,95,41,26,73,34,67,null,null,92,null,11,44,null,null,63,null,28,null,null,null,null,null,null,null,null,null,23,1,61,null,null,null,null,71,null,null,null,null,null,null,null,90,null,null,null,null,null,null,null,null,60,null,null,null,72,40,94,null,null,null,null,null,22,null,null,65,null,null,null,83,21,null,null,null,39,null,10,null,66,null,null,59,null,null,null,null,16,8,53,null,null,null,99,null,31,null,null,null,null,null,68,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,70,57,null,null,null,null,null,null,null,null,null,12,null,51,null,43,86,null,77,null,null,55,null,null,null,null,null,25,null,54,79,null,85,6,null,null,null,4,null,null,null,87,75,null,9,30,null,null,null,null,null,38,96,null,93,47,null,81,null,null,null,null,24,null,null,29,null,null,null,null,null,null,null,56,36,null,19,null,null,20,null,82,18,84,null,null,null,null,null,null,null,58,null,null,null,17,null,null,null,13,null,null,null,null,null,null,52,null,33,32,null,null,null,null,48,null,3,null,null,46,80,null,null,64,14,88,37,45,98,5,78,97,null,null,89,69,null,null,null,49,50,42,91,null,76,null
1950,null,null,null,null,null,null,null,null,null,null,null,null,29,23,null,null,null,78,null,null,null,null,null,65,null,null,null,null,null,74,null,null,null,null,null,7,3,null,null,null,36,null,null,null,null,null,null,99,55,45,97,40,61,null,null,86,null,22,58,null,null,57,null,21,null,null,null,null,null,null,null,null,null,53,5,75,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72,null,null,null,77,14,null,null,null,null,null,null,18,null,null,90,null,null,null,96,35,95,null,null,47,null,6,81,41,null,null,56,null,null,null,null,15,16,33,null,null,null,null,null,48,null,null,91,null,null,43,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,76,32,null,null,null,null,null,null,null,null,null,17,null,44,null,37,62,null,59,null,null,67,null,null,null,null,null,2,null,73,42,null,88,27,null,null,93,8,null,null,null,null,71,null,25,11,null,null,null,null,null,68,null,null,85,26,84,49,null,null,null,null,9,null,null,19,null,null,null,null,null,null,null,39,54,null,24,null,null,38,null,69,30,89,null,null,null,null,null,null,null,50,null,null,null,20,null,null,null,28,null,null,null,null,null,null,13,null,12,4,null,null,null,null,52,87,1,null,null,60,83,null,null,70,31,92,34,63,98,10,79,null,null,null,94,80,null,null,null,66,64,51,82,null,46,null
1955,null,null,null,null,null,null,null,null,null,null,null,null,23,32,null,92,null,null,null,null,null,null,null,57,null,null,null,null,null,100,null,82,null,null,null,2,8,null,null,null,45,null,null,null,null,null,null,null,58,56,null,55,50,null,null,81,null,35,62,null,null,39,null,22,null,null,null,null,null,null,null,null,null,64,9,67,null,null,null,null,91,71,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,83,null,null,null,94,15,null,null,null,null,null,null,7,null,null,null,null,null,null,98,51,76,null,null,42,95,5,68,10,null,null,41,null,null,null,null,13,12,11,null,null,89,null,null,49,null,null,null,null,null,27,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,63,26,null,null,null,null,null,null,null,null,null,28,null,29,null,43,60,null,53,null,null,73,null,null,null,null,null,3,null,84,48,null,null,37,null,null,87,17,null,77,null,null,66,null,38,18,null,null,null,null,null,96,null,null,85,24,46,33,null,null,null,null,25,null,null,14,null,null,null,null,null,null,null,47,61,null,30,null,null,31,null,69,34,null,null,null,null,65,null,null,null,21,null,null,null,19,null,null,null,36,null,null,null,null,null,null,6,null,20,1,null,null,null,97,52,null,4,null,null,75,null,null,null,78,54,null,40,79,86,16,72,null,88,99,90,74,null,null,null,93,70,59,80,null,44,null
1960,null,null,null,null,null,null,null,null,99,null,96,null,9,48,null,null,null,null,null,null,null,null,null,29,null,null,null,null,null,null,null,69,null,null,null,3,23,null,null,null,61,62,null,null,null,null,null,null,83,85,null,92,56,null,null,null,null,49,80,null,null,17,37,28,null,null,null,null,null,null,77,null,null,null,25,91,null,null,null,null,null,43,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,97,null,null,null,null,26,null,null,90,71,null,null,16,null,null,null,null,null,null,79,60,39,null,null,22,64,6,59,2,45,30,27,63,null,76,75,15,19,7,null,null,11,null,null,58,null,null,null,null,null,8,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,98,93,18,null,null,null,null,null,null,null,null,null,47,null,35,null,51,65,null,34,null,null,null,67,null,null,null,null,10,null,null,55,null,null,40,null,null,86,38,null,20,94,null,81,null,50,36,null,null,null,null,null,null,null,null,87,31,32,41,null,null,null,null,54,null,null,14,null,null,null,null,null,null,null,70,84,null,44,null,null,24,null,74,42,null,null,null,null,4,null,null,null,13,null,null,null,33,null,null,null,52,null,null,null,null,null,null,5,null,46,1,null,null,null,null,66,null,12,null,null,100,null,null,null,82,73,null,57,null,89,21,null,null,88,53,null,95,null,null,null,null,null,78,null,null,68,72
1965,null,null,null,null,null,83,null,null,53,null,88,null,17,72,null,null,null,null,null,null,null,null,null,24,null,null,null,null,null,null,null,50,96,null,null,9,46,null,null,null,null,35,null,null,null,null,null,null,null,null,null,null,57,null,null,null,null,85,null,null,null,10,11,47,null,null,null,null,null,null,43,65,null,null,51,78,null,null,null,null,null,27,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40,null,66,49,71,null,null,28,null,null,null,null,null,null,62,77,19,null,null,12,36,13,41,4,21,7,33,30,69,39,38,25,31,8,null,null,5,null,95,null,null,null,null,null,null,2,null,null,null,null,48,94,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,58,86,16,null,null,null,null,null,null,null,null,null,92,null,45,null,64,68,91,29,null,null,null,59,null,null,null,null,18,null,null,84,null,null,44,null,null,100,63,99,14,80,null,90,null,56,52,null,null,null,null,null,null,null,null,null,54,26,37,null,null,null,null,74,null,82,15,null,null,null,null,null,null,null,98,null,null,75,null,null,32,null,79,61,null,null,null,null,3,null,70,null,22,null,null,null,60,null,null,null,67,null,null,76,null,null,null,1,null,73,6,null,null,null,null,93,null,20,null,null,null,null,null,null,null,97,null,81,null,null,42,89,null,55,34,null,null,null,null,null,null,null,null,null,null,87,23
